2025-10-29 20:28:06 | INFO | Planet | [Registry] Detected resource types: []
2025-10-29 20:28:06 | DEBUG | asyncio | Using selector: EpollSelector
2025-10-29 20:28:06 | DEBUG | NetworkClient | Connected to server 192.168.0.40:5000
2025-10-29 20:28:06 | INFO | Registry | [Registry] Rehydrated from network with 66 entries.
2025-10-29 20:28:06 | DEBUG | NetworkClient | ✅ Loaded registry with 66 total entries.
2025-10-29 20:28:07 | DEBUG | NetworkClient | [DEBUG] Received galaxy with 400 hexes
2025-10-29 20:28:07 | INFO | assets | [AssetManager] Loading all game icons (online_mode=True)...
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'unit_Ion Cannon' from 'assets/units/ion_canon.webp'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'unit_Ion Cannon' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'unit_Gauss Cannon' from 'assets/units/gauss_canon.jpg'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'unit_Gauss Cannon' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'unit_High-Altitude Interceptor' from 'assets/units/Interceptor.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'unit_High-Altitude Interceptor' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'unit_Planetary Garrison' from 'assets/units/planetary_garrison.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'unit_Planetary Garrison' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_barren' from 'assets/planets/Barren_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_barren' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_terrestrial' from 'assets/planets/Terrestrial_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_terrestrial' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_volcanic' from 'assets/planets/Magma_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_volcanic' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_hydrogen_giant' from 'assets/planets/YellowGiant_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_hydrogen_giant' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_ionized_giant' from 'assets/planets/BlueGiant_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_ionized_giant' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_quantum_giant' from 'assets/planets/GreenGiant_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_quantum_giant' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_oceanic' from 'assets/planets/Ocean_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_oceanic' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_jungle' from 'assets/planets/Lush_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_jungle' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'planet_symbiotic' from 'assets/planets/Tropical_05-256x256.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'planet_symbiotic' to (48, 48).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'resource_basaltic_ore' from 'assets/icons/ore.png'.
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Scaled image 'resource_basaltic_ore' to (32, 32).
2025-10-29 20:28:07 | DEBUG | assets | [AssetManager] Loaded image 'resource_metal_bars' from 'assets/resources/metal_bar.png'.
